no,nama,kategori,alamat,kota,lat,lng,plusCode,rating,jumlahUlasan,telepon,website,foto,jamBuka,linkMaps,sumberQuery
99,De Oxford Cafe,Kafe,"Jl. G. Bawakaraeng No.111/F, Tompo Balang, Kec. Bontoala, Kota Makassar, Sulawesi Selatan 90151, Indonesia",Makassar,-5.1348672,119.4259567,"VC8G+39 Tompo Balang, Kota Makassar, Sulawesi Selatan, Indonesia",4.3,135,+6281337392229,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmhrjF_WUe2K-CrmWSevMsb5_esP8juCD4qIE_KnprBMPAv-T5oBIWjho43wGIl8KnF0GKvQikIpVRr53lEiVrk_CyW2766hESMsJk2hLZlYH0wrAGlx0TZKuWMcIqD9BxsD8jI0A=w426-h240-k-no,"Senin,09.00 hingga 00.00 | Selasa,09.00 hingga 00.00 | Rabu,09.00 hingga 00.00 | Kamis,09.00 hingga 00.00 | Jumat,09.00 hingga 00.00 | Sabtu,09.00 hingga 02.00 | Minggu,09.00 hingga 00.00",https://www.google.com/maps/place/De+Oxford+Cafe/data=!4m7!3m6!1s0x2dbefd50fb3e94eb:0xdad20539af8aa34a!8m2!3d-5.1348672!4d119.4259567!16s%2Fg%2F11b6vk74rm!19sChIJ65Q--1D9vi0RSqOKrzkF0to,cafe Makassar | coffee shop Makassar
100,Benz Bakery & Cafe,Kafe,"Jl. Kajaolalido No.2, Baru, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90111, Indonesia",Makassar,-5.1334867,119.4104597,"VC86+J5 Baru, Kota Makassar, Sulawesi Selatan, Indonesia",4.4,620,+624113623362,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnY94gtyQktC_DuB7pKedmCwXeFPw1x0Yd1yJkBFjs5boPpjs0QcDCLdCb-7ZrRYlyRTvH2UEaH8AcLm3a6eGbVlYKAe2TAtIxqyoHqP4TVKoZ34Ee1jylEjkCrpFYDmkjfL9SO=w408-h306-k-no,"Senin,07.00 hingga 22.00 | Selasa,07.00 hingga 22.00 | Rabu,07.00 hingga 22.00 | Kamis,07.00 hingga 22.00 | Jumat,07.00 hingga 22.00 | Sabtu,07.00 hingga 22.00 | Minggu,07.00 hingga 22.00",https://www.google.com/maps/place/Benz+Bakery+%26+Cafe/data=!4m7!3m6!1s0x2dbf02af188af88b:0x30c5bded84bbc63d!8m2!3d-5.1334867!4d119.4104597!16s%2Fg%2F11b807sqc0!19sChIJi_iKGK8Cvy0RPca7hO29xTA,cafe Makassar
101,Etika Studio,Kafe,"Jl. Tamalate No.Kav. 8, Karunrung, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90221, Indonesia",Makassar,-5.1740486,119.4462379,"RCGW+9F Karunrung, Kota Makassar, Sulawesi Selatan, Indonesia",4.5,479,,http://www.etikastudio.id/,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmrcGx4wXM2gL1lwNdvMwZA0ZKFoJrOrovJG5zWPq8-6UV9pBJfgdn5XYia4pONedH5snFuS_FF58EUoAZcSDUXrC5V6kDZudkZPuBsltTD4awMRUrMDIIR5e4x0qLQlqEfRiLfUg=w426-h240-k-no,"Senin,05.00 hingga 23.00 | Selasa,05.00 hingga 23.00 | Rabu,05.00 hingga 23.00 | Kamis,05.00 hingga 23.00 | Jumat,05.00 hingga 23.00 | Sabtu,05.00 hingga 23.00 | Minggu,05.00 hingga 23.00",https://www.google.com/maps/place/Etika+Studio/data=!4m7!3m6!1s0x2dbee2f416ad505b:0x2f44792afda2f287!8m2!3d-5.1740486!4d119.4462379!16s%2Fg%2F11ggt5lcvl!19sChIJW1CtFvTivi0Rh_Ki_Sp5RC8,cafe Makassar
102,Cafe Pelangi,Kafe,"Jl. Botolempangan No.2, Sawerigading, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90115, Indonesia",Makassar,-5.1376406,119.4102744,"VC66+W4 Sawerigading, Kota Makassar, Sulawesi Selatan, Indonesia",4.4,613,+624113639899,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmL-BsCVDhMAc2SqU7boXoAx6pfvYGGaTqkUBd0osfN6UbKxRPhQ5p-oww-bKCltXdrWsLZPZUnbshWG-RAS12tElrgNKSem08OrbHJXKrBX82LSmyRMCaHQCqZ76S-4L-S7r-c=w408-h680-k-no,"Senin,08.00 hingga 22.00 | Selasa,08.00 hingga 22.00 | Rabu,08.00 hingga 22.00 | Kamis,08.00 hingga 22.00 | Jumat,08.00 hingga 22.00 | Sabtu,08.00 hingga 22.00 | Minggu,08.00 hingga 22.00",https://www.google.com/maps/place/Cafe+Pelangi/data=!4m7!3m6!1s0x2dbf02ae971150bd:0xf4abf6169b67fd6!8m2!3d-5.1376406!4d119.4102744!16s%2Fg%2F1hm5wd1tl!19sChIJvVARl64Cvy0R1n-2aWG_Sg8,cafe Makassar
103,Kampoeng Popsa,Pujasera,"Jl. Ujung Pandang No.4, Bulo Gading, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90171, Indonesia",Makassar,-5.1337072,119.4044637,"VC83+GQ Bulo Gading, Kota Makassar, Sulawesi Selatan, Indonesia",4.4,4221,+6281389871114,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkDHQ8QlPQR6lWJOO85HKB6-WuOG2BwTT_Pvwpe0V7ejEfNooJ5QL90l5NlK9Glwgt6e0djevRJQ688nOIb5vqBst9PC2175Y14Evr5wVb5SA0E-o4beo-inZy8FaTDyHVoXei8xaqbreU=w408-h544-k-no,"Senin,07.00 hingga 22.00 | Selasa,07.00 hingga 22.00 | Rabu,07.00 hingga 22.00 | Kamis,07.00 hingga 22.00 | Jumat,07.00 hingga 22.00 | Sabtu,07.00 hingga 22.00 | Minggu,07.00 hingga 22.00",https://www.google.com/maps/place/Kampoeng+Popsa/data=!4m7!3m6!1s0x2dbf02ba9c97c131:0xf59a1b0def4f4264!8m2!3d-5.1337072!4d119.4044637!16s%2Fg%2F1tg96k79!19sChIJMcGXnLoCvy0RZEJP7w0bmvU,cafe Makassar | kedai kopi Makassar
104,Cafe The Urip'Z,Kafe,"Jl. Urip Sumoharjo No.30, Maccini, Kec. Makassar, Kota Makassar, Sulawesi Selatan 90144, Indonesia",Makassar,-5.1350433,119.4306966,"VC7J+X7 Maccini, Kota Makassar, Sulawesi Selatan, Indonesia",4.6,78,+6282350211832,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnxxfnfQXpqzbYT4lFf2ygTf057Fcz5wuwHdp4iygJtUJ773hPDU44KxpQli07QUqkLS9_RvtWBotboqQgFXB3-N9n3Oo4g_UNOhy15BqezKpuwaYwv6sz1jYI8slGW7vGhxNw=w426-h240-k-no,"Senin,09.00 hingga 01.00 | Selasa,09.00 hingga 01.00 | Rabu,09.00 hingga 01.00 | Kamis,09.00 hingga 01.00 | Jumat,09.00 hingga 01.00 | Sabtu,09.00 hingga 01.00 | Minggu,09.00 hingga 01.00",https://www.google.com/maps/place/Cafe+The+Urip%27Z/data=!4m7!3m6!1s0x2dbefd4e34cf40b1:0x1389ca0348978689!8m2!3d-5.1350433!4d119.4306966!16s%2Fg%2F11c43pcdnf!19sChIJsUDPNE79vi0RiYaXSAPKiRM,cafe Makassar
105,RPP Ropang Plus Plus Perintis,Restoran,"Jl. Perintis Kemerdekaan No.KM12, Kapasa, Kec. Tamalanrea, Kota Makassar, Sulawesi Selatan 90245, Indonesia",Makassar,-5.12704,119.5012654,"VGF2+5G Kapasa, Kota Makassar, Sulawesi Selatan, Indonesia",4.4,384,+6281211179883,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlYzP_6y-qdLfwa086cCkJ6IARfhcUAqBRkR5kfYMYN6HPdH_L79I7wc9U5fX7Dy2FenkF9g9-jdoyuczSw5Ffh7wcVdFRVZq2dj2zvnWS7kuqqkyuioaj6zgQoop6dM_v2M33We9bb0NFt=w408-h544-k-no,,https://www.google.com/maps/place/RPP+Ropang+Plus+Plus+Perintis/data=!4m7!3m6!1s0x2dbefd90273b6b6f:0x1cbb79fa1b3846ce!8m2!3d-5.12704!4d119.5012654!16s%2Fg%2F11rd3hd9kz!19sChIJb2s7J5D9vi0RzkY4G_p5uxw,cafe Makassar
106,Duajiwa Coffee,Kedai Kopi,"Jl. Andi Djemma No.60, Banta-Bantaeng, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90231, Indonesia",Makassar,-5.1640141,119.4240097,"RCPF+9J Banta-Bantaeng, Kota Makassar, Sulawesi Selatan, Indonesia",4.7,215,+6281243108969,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWn3OjLrbGy7A0V34oyEL6h1GgCclN6dbqtWtc-tVrd1wMWadhtbLZzEghaVi7tB_t2EfpUGKuqOLs8HWc1FIEZbxvJOe3eIUjaSfxY_j179-M57ME3wqufSNf5KKk3rmDDS3xPZ=w507-h240-k-no,"Senin,08.00 hingga 22.00 | Selasa,08.00 hingga 22.00 | Rabu,08.00 hingga 22.00 | Kamis,08.00 hingga 22.00 | Jumat,08.00 hingga 22.00 | Sabtu,08.00 hingga 22.00 | Minggu,08.00 hingga 22.00",https://www.google.com/maps/place/Duajiwa+Coffee/data=!4m7!3m6!1s0x2dbee3d0af61df85:0x1dc06285a9fed781!8m2!3d-5.1640141!4d119.4240097!16s%2Fg%2F11fmqn9jyc!19sChIJhd9hr9Djvi0Rgdf-qYViwB0,cafe Makassar
107,Donald Mee Cafe,Restoran Hidangan Mie China,"Jl. Karunrung No.5, Sawerigading, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90113, Indonesia",Makassar,-5.1448483,119.4138433,"VC47+3G Sawerigading, Kota Makassar, Sulawesi Selatan, Indonesia",4.5,1782,+6281526801722,https://linktr.ee/donaldmee,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWngF_fncLho_m8fL7vRnurQTcpBycxkgG1EOVY0NVn-hKdtcXHOr2uGyjNdlgqc4nuDvkJMbbU3hkoxnWwb8ZselBrd4ta8kLu8xJ5e1ACO5Tx16NGl1ll7l_34auYyAFIEi_Jv=w408-h306-k-no,"Senin,08.00 hingga 22.30 | Selasa,08.00 hingga 22.30 | Rabu,08.00 hingga 22.30 | Kamis,08.00 hingga 22.30 | Jumat,08.00 hingga 22.30 | Sabtu,08.00 hingga 22.30 | Minggu,08.00 hingga 22.30",https://www.google.com/maps/place/Donald+Mee+Cafe/data=!4m7!3m6!1s0x2dbf1d5459dc0963:0xec263489c36f2d74!8m2!3d-5.1448483!4d119.4138433!16s%2Fg%2F1pztj0k4t!19sChIJYwncWVQdvy0RdC1vw4k0Juw,cafe Makassar
108,GAUL COFFEE PANAKKUKANG MAKASSAR,Kafe,"RCWQ+5W6, Jl. Topaz Raya, Masale, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231, Indonesia",Makassar,-5.1545843,119.4397581,,4.6,42,,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmEgPJsIgbBEfpjldFlOyMY0dQWFsuM8JA40qy4HuuAz_FbQ-y-JRBmziNzilp1UocRO8ml1gcMeU_NjbB7Ia6wNvnZ5CHRO7_4Br3z-9_eJf-EPgIHdfznF-yPFUdXimK5wEeJdQ=w408-h258-k-no,"Senin,Buka 24 jam | Selasa,Buka 24 jam | Rabu,Buka 24 jam | Kamis,Buka 24 jam | Jumat,Buka 24 jam | Sabtu,Buka 24 jam | Minggu,Buka 24 jam",https://www.google.com/maps/place/GAUL+COFFEE+PANAKKUKANG+MAKASSAR/data=!4m7!3m6!1s0x2dbee311d508f639:0x97792d35e93db809!8m2!3d-5.1545843!4d119.4397581!16s%2Fg%2F11fstw3w7k!19sChIJOfYI1RHjvi0RCbg96TUteZc,cafe Makassar | coffee shop Makassar
109,Social Barn Boulevard,Restoran,"Jl. Boulevard Raya Kelap Gading, Masale, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231, Indonesia",Makassar,-5.1565749,119.4443185,"RCVV+9P Masale, Kota Makassar, Sulawesi Selatan, Indonesia",4.4,364,,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWm9i2OI8y4dXeiPfzkU6Qf_mZKWcB0cCDwu34iFWwIouttW4_uZxGqR5H3OzyNQjOmD5SXWzvpWgqbIBeaMfLHlotigJGrNFyv619wWRNlhpHHze4nsfd6L4cd_DjAVZYEgCrU=w426-h240-k-no,"Senin,06.00 hingga 23.00 | Selasa,06.00 hingga 23.00 | Rabu,06.00 hingga 23.00 | Kamis,06.00 hingga 23.00 | Jumat,06.00 hingga 23.00 | Sabtu,06.00 hingga 23.30 | Minggu,06.00 hingga 23.30",https://www.google.com/maps/place/Social+Barn+Boulevard/data=!4m7!3m6!1s0x2dbee30034d03f89:0x56872ddd52c89df9!8m2!3d-5.1565749!4d119.4443185!16s%2Fg%2F11y422btml!19sChIJiT_QNADjvi0R-Z3IUt0th1Y,cafe Makassar
110,Crematology X Makassar,Kedai Kopi,"Jl. Metro Tj. Bunga No.2, Panambungan, Kec. Mariso, Kota Makassar, Sulawesi Selatan 90112, Indonesia",Makassar,-5.1521777,119.4041426,"RCX3+4M Panambungan, Kota Makassar, Sulawesi Selatan, Indonesia",4.5,58,+624118052281,https://instagram.com/crematology?utm_source=ig_profile_share&igshid=tx1szwapq4cq,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWncFkV7uju8Njmk8vabpi3G9XZB84e_QwtiQ-QaYmbhTExdowOAfaNfGI132G7YMUT2lD5L_m2Ubc61wgjbcYBsAV11L3g7rIcyc3Rgg_u8-56n3xIML1srN_ICw3ws-twJ6fSk=w408-h306-k-no,"Senin,10.00 hingga 22.00 | Selasa,10.00 hingga 22.00 | Rabu,10.00 hingga 22.00 | Kamis,10.00 hingga 22.00 | Jumat,10.00 hingga 00.00 | Sabtu,10.00 hingga 00.00 | Minggu,10.00 hingga 22.00",https://www.google.com/maps/place/Crematology+X+Makassar/data=!4m7!3m6!1s0x2dbf1d0ae24b7001:0xe5b854bb0f0e1aa0!8m2!3d-5.1521777!4d119.4041426!16s%2Fg%2F11fct7ctjp!19sChIJAXBL4godvy0RoBoOD7tUuOU,cafe Makassar | kedai kopi Makassar | coffee shop Makassar
111,Cafe Bulukopi Makassar (Ex Cafe Arwes),Kafe,"Jl. Waduk Tunggu Pampang No.D/23, Antang, Kec. Manggala, Kota Makassar, Sulawesi Selatan 90231, Indonesia",Makassar,-5.1656603,119.4715384,"RFMC+PJ Antang, Kota Makassar, Sulawesi Selatan, Indonesia",4.7,38,+6282141143845,http://www.instagram.com/buluukopi.id,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWn6zyXF_DNg6fk2KRwcFjCKouoezFU6i8RWYwm4nXD09Sz5e4fEu54EPLXOwPgR1EguSnV0uRFDIwNQ3MAtmXDTp6xZmApfKSMP_8De2oDyInhMKEC2M2rUzF4xBg2ARPa7KvWNpDJFneg=w408-h725-k-no,"Senin,07.30 hingga 22.30 | Selasa,07.30 hingga 22.30 | Rabu,07.30 hingga 22.30 | Kamis,07.30 hingga 22.30 | Jumat,07.30 hingga 22.30 | Sabtu,07.30 hingga 22.30 | Minggu,07.30 hingga 22.30",https://www.google.com/maps/place/Cafe+Bulukopi+Makassar+%28Ex+Cafe+Arwes%29/data=!4m7!3m6!1s0x2dbee3b8b0479adf:0x83490a45c2f041a2!8m2!3d-5.1656603!4d119.4715384!16s%2Fg%2F11sw10slj0!19sChIJ35pHsLjjvi0RokHwwkUKSYM,cafe Makassar
112,Panbakers Latimojong,Kedai Sarapan & Makan Siang,"Jl. Gunung Latimojong No.140, Maradekaya Sel., Kec. Makassar, Kota Makassar, Sulawesi Selatan 90141, Indonesia",Makassar,-5.1449618,119.4210281,"VC4C+2C Maradekaya Sel., Kota Makassar, Sulawesi Selatan, Indonesia",4.7,2590,+624113618358,https://www.instagram.com/panbakers/,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWl5GizqvLuOzc4AD_Qq-OtnsphGjNlthJQAuAuCwv-7hkHleIAP0HlrfskO7Hpc9_w3DBLR3KmhbIYQumj2Eeu7-eKvdD37r2o2K3sC1E0lV_63tw8YALbrIT_DvRm80G2OeQHbkQ=w408-h306-k-no,"Senin,10.00 hingga 23.00 | Selasa,10.00 hingga 23.00 | Rabu,10.00 hingga 23.00 | Kamis,10.00 hingga 23.00 | Jumat,10.00 hingga 23.00 | Sabtu,10.00 hingga 23.00 | Minggu,10.00 hingga 23.00",https://www.google.com/maps/place/Panbakers+Latimojong/data=!4m7!3m6!1s0x2dbee2abaea30ac1:0xfd19325dfb81bb1b!8m2!3d-5.1449618!4d119.4210281!16s%2Fg%2F11f38tmsz4!19sChIJwQqjrqvivi0RG7uB-10yGf0,cafe Makassar
113,Azzahrah,Kedai Kopi,"Jl. Bandang No.194 / 196, Parang Layang, Kec. Bontoala, Kota Makassar, Sulawesi Selatan 90155, Indonesia",Makassar,-5.1229043,119.4186706,"VCG9+RF Parang Layang, Kota Makassar, Sulawesi Selatan, Indonesia",4.5,1927,+628114491925,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnJYxwCWFGq0c1oxPv5Zhf91-lxQLzVYd6hAn0NcKPw61o82-BoF5kiVJb2S9UxJoCXWbItLR1moNvCTe0DLAyvZxJr6mUTgcsOJldCI-_2LIsMvJH8D5mPALfMdZdvEcMA1dYH8lQIcKl_=w408-h544-k-no,"Senin,Buka 24 jam | Selasa,Buka 24 jam | Rabu,Buka 24 jam | Kamis,Buka 24 jam | Jumat,Buka 24 jam | Sabtu,Buka 24 jam | Minggu,Buka 24 jam",https://www.google.com/maps/place/Azzahrah/data=!4m7!3m6!1s0x2dbefd603d2cfe91:0x3236e18c4937f517!8m2!3d-5.1229043!4d119.4186706!16s%2Fg%2F11b77pr8z6!19sChIJkf4sPWD9vi0RF_U3SYzhNjI,warkop Makassar | kedai kopi Makassar
114,Kampoeng Clasik,Kedai Kopi,"Jl. Perintis Kemerdekaan No.km. 16, RW.5, Pai, Kec. Biringkanaya, Kota Makassar, Sulawesi Selatan 90243, Indonesia",Makassar,-5.0910107,119.5165579,"WG58+HJ Pai, Kota Makassar, Sulawesi Selatan, Indonesia",4.8,26,+6282116161188,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmMPNY6UDENS6yFKRz7LoG8EMwAsnEdca99q27mnpEdTx3TKlelxvVJr3oyQnZeyMOG3vxh0VcaJa3hg3FyjXVsX8lNvyAToPYV4qA_Lu5ji4iU2wBhabmG7FQqvWsRANGkFCkI=w408-h306-k-no,"Senin,09.30 hingga 00.00 | Selasa,09.30 hingga 00.00 | Rabu,09.30 hingga 00.00 | Kamis,09.30 hingga 00.00 | Jumat,09.00 hingga 00.00 | Sabtu,14.30 hingga 00.00 | Minggu,14.30 hingga 00.00",https://www.google.com/maps/place/Kampoeng+Clasik/data=!4m7!3m6!1s0x2dbee3bcd34f509d:0x4bad949257643c9c!8m2!3d-5.0910107!4d119.5165579!16s%2Fg%2F11s58zm26n!19sChIJnVBP07zjvi0RnDxkV5KUrUs,warkop Makassar
115,PUSAT UMKM EWR,Kafe,"Jl. Perintis Kemerdekaan No.km.12, RW.no.160, Tamalanrea, Kec. Tamalanrea, Kota Makassar, Sulawesi Selatan 90241, Indonesia",Makassar,-5.1274522,119.5019116,"VGF2+2Q Tamalanrea, Kota Makassar, Sulawesi Selatan, Indonesia",4.4,300,+628118905155,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWn0hiZZvUZJBzvhQKNv6a4QvY_fAUFs-8d3qw25PwUmP4NQj87ZgX_r71FbkwhioKeUot3aM10lRTYaqS7jXNHVr4ndXtJhC8qvOycJ8TffK5QzPI6HB5xOSaOD6VLqmo6BJi44Jlc_LCt_=w426-h240-k-no,"Senin,Buka 24 jam | Selasa,Buka 24 jam | Rabu,Buka 24 jam | Kamis,Buka 24 jam | Jumat,Buka 24 jam | Sabtu,Buka 24 jam | Minggu,Buka 24 jam",https://www.google.com/maps/place/PUSAT+UMKM+EWR/data=!4m7!3m6!1s0x2dbefd427ea94c0d:0xb06efe78efcde501!8m2!3d-5.1274522!4d119.5019116!16s%2Fg%2F1hm1tk2td!19sChIJDUypfkL9vi0RAeXN73j-brA,warkop Makassar
116,Warkop Bugis,Kedai Kopi,"Jl. Toddopuli Raya, Raya Utara, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231, Indonesia",Makassar,-5.1615405,119.4543071,"RFQ3+9P Paropo, Kota Makassar, Sulawesi Selatan, Indonesia",4.6,867,+6285100332222,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWk8hcIejFWWksP_RJt2lOJX4v0lAxZtj8Q1fSvljmabWLV3GqiKBYwAsauj_i_3F-7JKnjh9xbpApN1Kvs3FcYwC5_Lvy_3BNcMCz2IJF8wbNsK9Xj9Sqynwx7vV6jxeEFFOYtndKVMW-Hw=w408-h544-k-no,"Senin,Buka 24 jam | Selasa,Buka 24 jam | Rabu,Buka 24 jam | Kamis,Buka 24 jam | Jumat,Buka 24 jam | Sabtu,Buka 24 jam | Minggu,Buka 24 jam",https://www.google.com/maps/place/Warkop+Bugis/data=!4m7!3m6!1s0x2dbee361b6079739:0x92dd35ddf61ce6a6!8m2!3d-5.1615405!4d119.4543071!16s%2Fg%2F11g1hmkg36!19sChIJOZcHtmHjvi0RpuYc9t013ZI,warkop Makassar
117,"Om Ben Coffee, Mie Pangsit Om Ben",Kedai Kopi,"Ruko Permata Mutiara, Jl. Daeng Tata Raya Jl. Permata Mutiara Raya No.39 Blk B, RW.001, Parang Tambung, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90224, Indonesia",Makassar,-5.1827952,119.422219,"RC8C+VV Parang Tambung, Kota Makassar, Sulawesi Selatan, Indonesia",4.5,555,+628123740419,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWleMPIJtTFzv2SqgMLQHXaF8eXazOKnz9LnwFPducV1UU7J8JcvBeNUw0ZMfX1_BrSZK669q86LljjP3GfSM4atEffG3biUL0Vj4OhPLSRt-0Rp6hNR6htdvMPtZLqJ2ntOy-1ntwUpVVlR=w408-h612-k-no,"Senin,Buka 24 jam | Selasa,Buka 24 jam | Rabu,Buka 24 jam | Kamis,Buka 24 jam | Jumat,Buka 24 jam | Sabtu,Buka 24 jam | Minggu,Buka 24 jam","https://www.google.com/maps/place/Om+Ben+Coffee,+Mie+Pangsit+Om+Ben/data=!4m7!3m6!1s0x2dbee27ef66ab611:0xa9b084d6bb785986!8m2!3d-5.1827952!4d119.422219!16s%2Fg%2F11b75pgtv6!19sChIJEbZq9n7ivi0Rhll4u9aEsKk",warkop Makassar
118,Warkop 27 boslompoa,Kedai Kopi,"Jl. Sultan Alauddin No.27, Mangasa, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90221, Indonesia",Makassar,-5.1827703,119.4338543,"RC8M+VG Mangasa, Kota Makassar, Sulawesi Selatan, Indonesia",4.3,827,+6281342200279,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWl9aT1CLdhWbjv1OdJjk_Jy2AifO1Kd0noua5p02-WrOGgwLKKhi-0e2YdXFBnMOnxdcAVDriZN6Kgx8PrZRwe2IO9mp9f2tcS9VP2s7BS3vlMknBSu0Ga3ajN2bwEWpSduri-w1A=w426-h240-k-no,"Senin,08.00 hingga 00.00 | Selasa,08.00 hingga 00.00 | Rabu,08.00 hingga 00.00 | Kamis,08.00 hingga 00.00 | Jumat,08.00 hingga 00.00 | Sabtu,08.00 hingga 00.00 | Minggu,08.00 hingga 00.00",https://www.google.com/maps/place/Warkop+27+boslompoa/data=!4m7!3m6!1s0x2dbee3b37081011b:0x43896aa0c329c22e!8m2!3d-5.1827703!4d119.4338543!16s%2Fg%2F11fl087tnb!19sChIJGwGBcLPjvi0RLsIpw6BqiUM,warkop Makassar
119,Kopi Bundu Talasalapang,Kedai Kopi,"Jalan Talasalapang BPH Plasa Ruko N1 No. 1, Karunrung, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90221, Indonesia",Makassar,-5.1832518,119.4478154,"RC8X+M4 Karunrung, Kota Makassar, Sulawesi Selatan, Indonesia",4.4,1312,+628114442399,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmCZLHz3paqmMhW2yyBSVZmrFQvhVwxOshufHaJvMLvpZYEssXvKkn0v7dz35AYIoaKTxQ5SZ4ZWjs4klyaWqOdZAjD-yYoxMN9NvS3sn7bMz-5TorZLlAIqfh6Ge9WSq_-DwM_nSLKKypz=w436-h240-k-no,"Senin,07.00 hingga 01.00 | Selasa,07.00 hingga 01.00 | Rabu,07.00 hingga 01.00 | Kamis,07.00 hingga 01.00 | Jumat,07.00 hingga 01.00 | Sabtu,07.00 hingga 01.00 | Minggu,07.00 hingga 01.00",https://www.google.com/maps/place/Kopi+Bundu+Talasalapang/data=!4m7!3m6!1s0x2dbee25bfa5e9f15:0x45c778b92edbddb9!8m2!3d-5.1832518!4d119.4478154!16s%2Fg%2F11b75j4dds!19sChIJFZ9e-lvivi0Rud3bLrl4x0U,warkop Makassar
120,Warkop Lima Satu,Kedai Kopi,"VGJ5+4QR, Jl. Perintis Kemerdekaan, Paccerakkang, Kec. Biringkanaya, Kota Makassar, Sulawesi Selatan 90245, Indonesia",Makassar,-5.1196318,119.5093918,,4.4,2292,+628114485151,http://bajiki.com/warkop51/,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkt3EOg3IGXHV28TWMajWwBUa7pstc2xyjsdCestZsrKhT1JGkWatnVDDxzPzbEZWZfoVgrpS6i3434P_Qdk5AM01X4PSxaguMIcQI5ASqJI9zt0x2vBh1B9l8NO_DuUXL4hfY=w408-h306-k-no,"Senin,Buka 24 jam | Selasa,Buka 24 jam | Rabu,Buka 24 jam | Kamis,Buka 24 jam | Jumat,Buka 24 jam | Sabtu,Buka 24 jam | Minggu,Buka 24 jam",https://www.google.com/maps/place/Warkop+Lima+Satu/data=!4m7!3m6!1s0x2dbefc9ff685734f:0x31a23d5a91251c6a!8m2!3d-5.1196318!4d119.5093918!16s%2Fg%2F1hm3f3hb3!19sChIJT3OF9p_8vi0RahwlkVo9ojE,warkop Makassar
121,Warkop LaKopi Hertasning,Kedai Kopi,"Jl. Letjen Hertasning No.11 Blok F28, Masale, Panakkukang, Makassar City, South Sulawesi 90222, Indonesia",,-5.1620018,119.440516,"RCQR+56 Masale, Kota Makassar, Sulawesi Selatan, Indonesia",4.5,1398,+6281293858838,https://www.instagram.com/lakopimakassar?igsh=azF2bmJuejA3M2Nm,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlofzd8wx8DGqhaioKbSgUCaUt0ZbgBqltWsSp8uzux6wlzX4sW3g2Wq0VVh4J76bOMV9bNSmnOs73ivYVkZWJhS_qvvrTle7UCc3yjsWyaOzji6Z0rxcVCCGVfFpD1ahM4Woij=w426-h240-k-no,"Senin,08.00 hingga 00.00 | Selasa,08.00 hingga 00.00 | Rabu,08.00 hingga 00.00 | Kamis,08.00 hingga 00.00 | Jumat,08.00 hingga 00.00 | Sabtu,08.00 hingga 00.00 | Minggu,08.00 hingga 00.00",https://www.google.com/maps/place/Warkop+LaKopi+Hertasning/data=!4m7!3m6!1s0x2dbee3cf936f8017:0x591d31a8babfad78!8m2!3d-5.1620018!4d119.440516!16s%2Fg%2F11gx_xdgln!19sChIJF4Bvk8_jvi0ReK2_uqgxHVk,warkop Makassar
